campaign_id,campaign_name,campaign_type,duration_days,campaign_gmv,campaign_net_revenue,discount_cost,orders,customers,baseline_gmv,incremental_gmv,gmv_lift_pct,baseline_net_revenue,incremental_net_revenue,promotion_roi_proxy
C001,Songkran Sale,flash-sale,3,190138.86,176697.24,20239.0,14,14,9066.26,181072.6,1997.21,8332.34,168364.91,731.88
C002,9.9 Sale,flash-sale,1,472864.69,438154.0,49383.56,37,37,16408.65,456456.04,2781.8,15114.58,423039.42,756.64
C003,10.10 Sale,flash-sale,1,160586.85,149130.96,18550.57,15,15,5794.66,154792.19,2671.29,5359.34,143771.62,675.03
C004,11.11 Sale,discount,1,498138.15,460722.48,59639.41,57,57,34171.77,463966.38,1357.75,31517.0,429205.48,619.67
C005,12.12 Sale,flash-sale,1,1039606.38,960591.31,124271.44,111,111,96791.04,942815.34,974.07,89275.71,871315.6,601.14
C006,Songkran Sale,flash-sale,3,1768788.3,1642796.14,210153.79,142,142,223997.64,1544790.66,689.65,207261.57,1435534.57,583.09
C007,9.9 Sale,voucher,1,2353322.57,2189650.78,267725.12,211,211,198786.36,2154536.21,1083.85,183859.16,2005791.62,649.2
C008,10.10 Sale,flash-sale,1,1829107.9,1701080.67,213076.62,158,158,164890.6,1664217.3,1009.29,152476.1,1548604.57,626.78
C009,11.11 Sale,discount,1,2890875.26,2686798.21,331125.3,262,262,243924.24,2646951.02,1085.15,226238.11,2460560.1,643.09
C010,12.12 Sale,voucher,1,4388397.23,4067660.45,514775.81,374,374,453973.25,3934423.98,866.66,419436.07,3648224.38,608.7
C011,Songkran Sale,bundle,3,2265904.66,2102041.32,262546.31,230,230,595152.03,1670752.63,280.73,550842.93,1551198.39,490.83
C012,9.9 Sale,discount,1,4341506.83,4017985.51,511661.75,471,471,615249.59,3726257.24,605.65,568938.33,3449047.18,574.09
C013,10.10 Sale,discount,1,4003979.12,3718866.62,467933.03,391,391,619014.86,3384964.26,546.83,573142.78,3145723.84,572.26
C014,11.11 Sale,bundle,1,5502402.79,5104610.13,629128.69,546,546,766178.39,4736224.4,618.16,708382.5,4396227.63,598.78
C015,12.12 Sale,discount,1,4600190.82,4270716.6,531259.95,390,390,882960.65,3717230.17,421.0,817336.18,3453380.42,550.04
C016,Songkran Sale,bundle,3,5655197.49,5245902.6,649566.01,531,531,2927852.28,2727345.21,93.15,2709413.12,2536489.48,290.49
C017,9.9 Sale,bundle,1,8218511.46,7631172.11,967208.29,786,786,1806759.92,6411751.54,354.88,1673053.6,5958118.51,516.01
C018,10.10 Sale,discount,1,9806461.01,9097839.04,1146373.97,944,944,2342476.38,7463984.63,318.64,2166506.49,6931332.55,504.63
C019,11.11 Sale,flash-sale,1,15793180.65,14647679.58,1812552.69,1430,1430,3152258.95,12640921.69,401.01,2917083.09,11730596.49,547.19
C020,12.12 Sale,flash-sale,1,20750240.4,19279813.13,2373816.67,1883,1883,4484833.77,16265406.63,362.68,4157502.16,15122310.97,537.05
