cohort_month,registered_users,day_1_purchase_rate,day_7_purchase_rate,day_30_purchase_rate,day_90_purchase_rate
2022-01,1000,1.3,3.6,15.4,34.4
2022-02,974,0.92,3.08,9.45,31.62
2022-03,1003,0.7,3.29,12.66,32.5
2022-04,1085,1.38,3.13,12.53,30.78
2022-05,782,1.53,3.84,12.4,34.53
2022-06,928,0.65,3.66,13.47,36.64
2022-07,900,0.89,3.0,10.67,34.33
2022-08,1091,0.92,3.57,14.12,42.44
2022-09,1162,1.46,5.77,17.99,48.02
2022-10,1022,1.57,5.48,18.59,53.03
2022-11,1018,0.88,5.3,22.99,43.61
2022-12,1035,2.51,9.57,23.77,35.36
2023-01,1029,0.58,2.14,9.62,25.75
2023-02,934,0.21,1.93,7.6,24.73
2023-03,992,0.3,1.71,9.88,28.93
2023-04,1189,0.84,3.11,9.84,28.26
2023-05,989,0.71,2.12,9.0,27.2
2023-06,1167,1.11,3.34,11.14,30.76
2023-07,1029,0.87,2.62,11.37,33.92
2023-08,1180,0.68,2.71,14.07,37.71
2023-09,1265,1.9,4.82,14.39,39.84
2023-10,1198,0.83,3.59,14.94,46.08
2023-11,1107,1.45,5.33,19.24,41.55
2023-12,1121,2.5,8.3,20.43,34.34
2024-01,1133,0.71,3.18,9.97,28.33
2024-02,1124,0.44,2.49,9.79,26.6
2024-03,1212,1.07,3.05,12.71,30.78
2024-04,1364,1.17,4.55,12.61,31.74
2024-05,1149,1.13,3.57,10.53,32.29
2024-06,1329,1.13,2.71,11.06,33.18
2024-07,1164,0.86,3.01,13.32,38.14
2024-08,1305,1.23,4.44,16.4,42.84
2024-09,1429,1.61,5.11,17.84,47.1
2024-10,1270,1.89,5.51,18.5,50.87
2024-11,1216,1.48,6.09,23.27,48.36
2024-12,1305,2.38,7.66,22.15,40.0
2025-01,1554,0.32,3.15,12.29,35.01
2025-02,1432,0.77,2.93,12.57,38.41
2025-03,1530,1.24,3.79,17.52,43.66
2025-04,1828,1.64,4.81,15.48,41.68
2025-05,1590,1.13,4.47,18.68,46.16
2025-06,1704,1.76,6.1,17.96,48.18
2025-07,1581,0.89,4.68,19.92,56.48
2025-08,1724,1.33,6.15,25.93,64.91
2025-09,1812,2.32,8.06,27.92,69.81
