customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
C000001,88,6,81067.23,1,4,4,9,At Risk
C000002,80,4,41365.35,2,3,3,8,Regular
C000003,7,5,60461.52,5,3,4,12,Regular
C000004,19,2,17100.2,4,1,2,7,Regular
C000005,1199,1,13521.75,1,1,1,3,Churn Risk
C000006,19,8,118454.01,4,5,5,14,Champions
C000007,159,6,132346.57,1,4,5,10,At Risk
C000008,225,9,144950.55,1,5,5,11,At Risk
C000009,324,6,48242.58,1,4,3,8,Regular
C000010,17,13,131728.0,4,5,5,14,Champions
C000011,10,8,95223.37,4,5,5,14,Champions
C000012,11,8,75652.07,4,5,4,13,Champions
C000013,72,5,29699.56,2,3,2,7,Regular
C000014,18,7,107928.25,4,4,5,13,Champions
C000015,52,9,118819.17,2,5,5,12,At Risk
C000016,19,10,264684.31,4,5,5,14,Champions
C000017,118,6,136611.18,1,4,5,10,At Risk
C000018,18,9,62986.35,4,5,4,13,Champions
C000019,13,7,74912.88,4,4,4,12,Champions
C000020,85,10,127175.37999999999,1,5,5,11,At Risk
C000021,100,8,72649.25,1,5,4,10,At Risk
C000022,43,6,93757.82999999999,2,4,5,11,At Risk
C000023,50,9,109952.88,2,5,5,12,At Risk
C000024,17,9,74041.5,4,5,4,13,Champions
C000025,44,10,89027.13,2,5,5,12,At Risk
C000026,33,10,91580.0,3,5,5,13,Regular
C000027,11,8,175554.69999999998,4,5,5,14,Champions
C000028,0,8,134018.41,5,5,5,15,Champions
C000029,33,8,49861.66,3,5,3,11,Regular
C000030,27,11,107436.5,3,5,5,13,Regular
C000031,7,11,236161.02,5,5,5,15,Champions
C000032,6,11,192038.4,5,5,5,15,Champions
C000033,16,11,208755.14,4,5,5,14,Champions
C000034,175,7,67026.76,1,4,4,9,At Risk
C000035,1119,2,46193.22,1,1,3,5,Regular
C000036,2,2,7751.35,5,1,1,7,Regular
C000037,20,16,378443.44,3,5,5,13,Regular
C000038,38,8,121483.64,2,5,5,12,At Risk
C000039,9,14,211058.22999999998,5,5,5,15,Champions
C000040,24,10,104808.73,3,5,5,13,Regular
C000041,8,4,15282.58,5,3,1,9,Loyal
C000042,53,8,92763.94,2,5,5,12,At Risk
C000043,40,6,39193.0,2,4,3,9,Regular
C000044,8,10,87810.98,5,5,4,14,Champions
C000045,47,9,90309.71,2,5,5,12,At Risk
C000046,22,6,122968.79,3,4,5,12,Regular
C000047,0,11,73462.12,5,5,4,14,Champions
C000048,14,12,107482.6,4,5,5,14,Champions
C000049,39,3,13858.43,2,2,1,5,Churn Risk
C000050,31,9,75580.95999999999,3,5,4,12,Regular
C000051,271,6,67360.11,1,4,4,9,At Risk
C000052,38,13,140138.1,2,5,5,12,At Risk
C000053,242,8,61552.85,1,5,4,10,At Risk
C000054,3,13,166413.98,5,5,5,15,Champions
C000055,1,11,150827.09,5,5,5,15,Champions
C000056,18,11,93456.70999999999,4,5,5,14,Champions
C000057,70,9,91205.01000000001,2,5,5,12,At Risk
C000058,16,11,214934.08000000002,4,5,5,14,Champions
C000059,9,5,61466.51,5,3,4,12,Regular
C000060,31,8,82147.09,3,5,4,12,Regular
C000061,26,8,100434.83,3,5,5,13,Regular
C000062,78,8,48247.44,2,5,3,10,Regular
C000063,63,7,29765.770000000004,2,4,2,8,Regular
C000064,30,9,235719.26,3,5,5,13,Regular
