seller_id,shop_name,seller_type,total_gmv,total_net_revenue,orders,products
S0071,SuayTaladShop,Company,77161615.74,70988686.4,6923,28
S0107,DeeStarSuay,Individual,72432827.44,66638201.07,6597,28
S0149,ThongTalad,Company,71763101.06,66022053.34,6233,28
S0081,SabaiSuayShop,Company,68984027.32,63465305.56,6362,28
S0133,ShopSuay,Individual,68538688.33,63055593.41,6403,28
S0154,TaladFamily,Company,67341614.56,61954285.24,6523,28
S0122,KhongShop,Company,64903591.22,59711304.08,6201,28
S0058,FamilySabai,Individual,63566360.28,58484420.22,6219,28
S0090,FamilySuk,Individual,63313758.91,58455180.08,5685,28
S0121,TaladDeeBaan,Company,62524766.43,57522785.13,6564,28
S0198,BaanThongSuk,Company,61629797.69,56699413.68,5742,28
S0155,DeeSuk,Company,60365613.9,55536364.86,5862,28
S0064,KhongStar,Company,60181478.14,55367979.72,6149,28
S0020,MongkolShop,Company,59555855.83,54791387.14,6064,28
S0099,FamilyStar,Company,57667765.34,53054344.03,5974,28
S0073,TaladSuayMongkol,Company,57462387.42,52865396.33,6020,28
S0044,ShopSabaiSabai,Company,56478457.61,51960181.05,5962,28
S0181,StarSuaySuk,Company,54097934.38,49770099.34,5578,28
S0082,SuaySuay,Individual,53845675.52,49538021.6,5193,28
S0049,StarShop,Company,53168109.38,48914660.7,5505,28
S0057,DeeKhong,Company,51338517.11,47231137.49,5129,28
S0137,SuayStarShop,Company,51337293.08,47230309.91,5599,28
S0120,ShopThong,Company,47782942.91,43960307.36,5605,28
S0131,MongkolKhongShop,Company,47674768.23,45291029.66,2598,28
S0076,MongkolDeeDee,Company,45435755.34,43163967.67,1985,28
S0160,DeeSabaiSabai,Company,41912173.6,38344559.2,3781,16
S0166,SukTaladKhong,Individual,41213919.15,37923827.44,4951,28
S0050,TaladThongBaan,Company,39700337.03,37715320.16,1920,28
S0067,SabaiStar,Company,38934969.52,35625497.31,3683,16
S0091,BaanDeeSuay,Company,38874837.32,36931095.339999996,2006,28
S0196,TaladDee,Company,38350549.72,35090753.18,3597,16
S0158,BaanSabai,Company,37838819.57,35946878.72,1828,28
S0052,BaanKhongFamily,Company,37699349.05,34494904.05,3370,16
S0138,ThongShop,Company,37566824.89,35691343.27,2655,28
S0069,TaladThongTalad,Individual,37032814.66,35181173.85,1938,28
S0123,MongkolSuk,Individual,36391971.24,34572372.87,2227,28
S0015,SabaiStar,Individual,36272907.47,33191385.24,3527,16
S0063,DeeTaladShop,Company,36095449.03,33911118.01,2386,28
S0074,BaanSuay,Company,36021778.35,34220689.17,2078,28
S0105,BaanBaan,Individual,35455083.07,33682328.83,1871,28
S0127,ThongFamily,Company,32493420.35,30868749.19,1545,28
S0148,BaanKhong,Individual,32107293.57,30501928.77,1694,28
S0025,FamilyFamilyThong,Company,31906190.71,29194005.63,3467,16
S0139,BaanFamily,Company,30857956.05,29160768.47,1072,16
S0062,ShopShop,Company,30748363.8,29210945.81,1693,28
S0031,ShopThongStar,Company,30698142.39,28088800.03,3082,16
S0054,SuayTaladStar,Individual,30204222.34,28694011.16,1496,28
S0001,KhongSukSuk,Company,29455440.82,27982668.72,1317,28
S0191,SabaiThong,Company,29291339.87,26801576.01,2943,16
S0135,SabaiShop,Company,28916350.44,27073020.89,1756,16
S0066,KhongBaan,Company,27852450.61,26459828.06,1872,28
S0016,SuayMongkol,Company,26792060.24,25449085.57,1437,28
S0007,ThongThongMongkol,Company,26200913.27,24890867.52,1707,28
S0048,KhongKhongFamily,Company,25083577.17,23703980.28,1360,16
S0109,KhongMongkol,Individual,24577152.08,22492655.83,3299,16
S0195,BaanStar,Company,24003897.3,22803702.33,1380,28
S0171,StarDee,Company,23493095.79,22318440.96,1322,28
S0188,MongkolThong,Company,23010738.68,21860201.67,1044,28
S0142,BaanKhong,Company,21769132.81,20678375.37,1128,28
S0136,ShopSabai,Company,21463847.15,19764922.2,3577,28
S0125,KhongBaanMongkol,Company,21452313.02,19627023.11,2368,16
S0047,FamilyDee,Company,20666943.49,19633596.37,1116,28
S0173,MongkolFamilyFamily,Individual,20420331.41,19399314.88,1250,28
S0039,FamilyStar,Company,19039428.35,17421077.02,2558,16
S0101,ShopKhong,Company,18543555.46,17001405.21,2089,28
S0130,ThongFamily,Company,17876419.14,16982598.1,1279,28
S0186,FamilySuayMongkol,Individual,17049277.49,16111567.19,910,16
S0189,StarShopKhong,Company,15723662.78,14858861.26,724,16
S0167,SuaySabaiThong,Company,15453862.3,14603900.09,758,16
S0051,KhongKhong,Company,14980519.09,14156590.53,699,16
S0070,FamilyDee,Individual,14292443.4,13052435.21,1360,16
S0176,DeeDeeTalad,Company,14280360.5,13494940.78,787,16
S0175,ShopTaladStar,Company,13797431.63,12677967.51,1549,28
S0079,KhongBaan,Company,13386488.75,12650231.83,836,16
S0124,FamilySabaiSabai,Company,11192579.84,10576987.97,669,16
S0106,StarThongShop,Individual,10299660.48,9733179.18,782,16
S0170,FamilyFamily,Company,10087586.79,9237603.59,1659,16
S0111,SukSabaiShop,Company,10034167.07,9472144.07,823,28
S0164,ShopShop,Individual,8134165.85,7700976.47,887,28
S0026,FamilyBaanKhong,Company,8087600.54,7459874.59,2924,28
S0004,StarBaan,Company,7944548.97,7294134.07,1072,28
S0098,StarFamily,Company,7813977.42,7210397.12,2739,28
S0192,ShopSuay,Company,4974647.11,4702462.82,1071,16
S0115,SabaiKhong,Company,4500021.62,4187174.17,565,16
S0017,TaladShop,Company,3835239.85,3451715.98,987,28
S0033,MongkolThongMongkol,Individual,3234010.11,2910608.97,862,28
S0197,BaanTaladShop,Company,3183170.99,2972687.22,373,16
S0030,SuayFamily,Company,3038857.19,2846954.34,441,16
S0172,ThongDeeBaan,Company,2981500.94,2683350.87,793,28
S0028,SuayStar,Company,2975703.96,2678133.59,896,28
S0010,SuayTaladThong,Company,2972788.11,2675509.12,892,28
S0100,BaanSabai,Company,2861168.05,2575051.29,818,28
S0179,BaanSukMongkol,Company,2845928.55,2693211.3,1678,16
S0129,FamilySabaiTalad,Individual,2801781.49,2521603.37,788,28
S0177,SuayDeeMongkol,Company,2662112.41,2395901.13,773,28
S0092,FamilyKhong,Company,2591116.29,2332004.71,789,28
S0102,SuayBaan,Individual,2539447.26,2285502.56,752,28
S0068,StarSukMongkol,Company,2501403.4,2251262.99,742,28
S0065,SukSukThong,Individual,2462193.7,2215974.24,760,28
S0078,StarStarSuay,Individual,2393229.52,2153906.53,727,28
S0185,SukFamily,Company,2271108.07,2043997.09,631,28
S0157,BaanBaanDee,Company,2262529.68,2036276.76,754,28
S0072,SabaiFamilyStar,Company,2220990.81,2001910.02,861,28
S0119,MongkolKhongSuk,Company,2184907.86,1966417.04,682,28
S0087,TaladMongkolKhong,Individual,2177974.93,1960177.42,695,28
S0046,DeeStarStar,Company,2002710.58,1802439.6,655,28
S0053,SukStar,Individual,1902358.33,1712122.47,706,28
S0088,DeeThongMongkol,Company,1812360.24,1631124.18,659,28
S0003,MongkolStar,Company,1752811.42,1568766.28,487,16
S0040,ShopFamilyFamily,Individual,1735607.18,1655686.59,1969,28
S0022,SuayTalad,Company,1734209.43,1560788.55,724,28
S0009,StarThong,Company,1663152.28,1496837.04,686,28
S0184,TaladSabai,Company,1655593.96,1490034.61,591,28
S0002,KhongStarThong,Company,1632554.95,1476111.38,1030,28
S0153,DeeSuay,Company,1591985.99,1424827.45,461,16
S0168,KhongDeeBaan,Company,1534733.47,1373586.37,419,16
S0021,DeeThongThong,Company,1412419.36,1318751.97,400,28
S0061,StarFamilyThong,Individual,1371961.62,1234765.59,545,28
S0095,MongkolStarKhong,Company,1370871.17,1232175.79,791,16
S0187,SuayStarSabai,Company,1348178.57,1227590.07,1261,28
S0165,BaanTaladDee,Individual,1227985.96,1105187.37,492,28
S0085,TaladSuk,Company,1219807.8,1091727.97,399,16
S0194,SabaiSuk,Company,1191747.14,1072572.44,520,28
S0032,StarThongSuay,Company,1143939.85,1023826.04,405,16
S0075,BaanBaan,Individual,1080037.29,1023242.76,1363,16
S0134,TaladBaan,Company,1020064.61,912957.87,355,16
S0086,ThongSuay,Company,984930.97,881513.15,334,16
S0038,SuayKhong,Company,926546.3,888545.56,2223,28
S0112,SabaiThongSuk,Company,895206.37,801209.78,315,16
S0080,SukFamilySuk,Company,800074.6,719771.9400000001,780,28
S0045,SuaySuk,Company,782288.35,699515.9,311,16
S0178,FamilyDeeMongkol,Company,656952.33,584377.53,280,15
S0200,ShopMongkol,Company,650848.26,579682.33,422,28
S0083,BaanBaan,Individual,634313.12,567710.18,291,16
S0118,SuaySuk,Company,602846.48,584761.17,3094,28
S0084,TaladSuk,Company,575367.66,558106.99,2801,28
S0041,SuaySabai,Individual,573928.97,551337.15,2151,28
S0143,MongkolSukStar,Company,569175.06,552099.65,2735,28
S0150,TaladMongkol,Company,527316.7,511496.93,2634,28
S0108,FamilyShopShop,Individual,512243.48,496876.17,2326,28
S0190,TaladMongkol,Company,503348.19,484229.54,2099,28
S0005,MongkolSuk,Company,491037.39,476306.26,2363,28
S0161,ShopFamily,Individual,489351.01,474670.64,2312,28
S0027,DeeSukStar,Company,458905.46,445137.98,2292,28
S0024,DeeTalad,Company,457367.42,443646.69,2338,28
S0037,ThongDee,Company,446248.24,432860.82,2372,28
S0146,StarSabaiFamily,Company,428303.65,376907.24,413,28
S0163,TaladStar,Company,423210.92,410514.61,1928,28
S0141,SuayMongkol,Company,399994.86,351995.5,426,27
S0159,DeeShopSabai,Individual,399949.17,385008.52,1999,28
S0014,SuayFamilyTalad,Company,396524.92,348941.91,451,28
S0094,ShopBaanThong,Company,392949.17,345795.25,390,28
S0012,StarMongkolKhong,Company,378961.24,347906.49,975,28
S0144,DeeShopStar,Company,378870.74,361980.38,1779,16
S0006,FamilySabaiFamily,Individual,367245.83,356228.59,1800,28
S0174,ThongSuaySuay,Company,359430.26,323198.6,480,16
S0042,ShopTaladThong,Company,351906.4,309677.79,354,28
S0103,MongkolFamily,Company,350963.7,308848.02999999997,390,28
S0096,FamilyKhong,Individual,339763.29,298991.72000000003,314,27
S0018,ThongBaanBaan,Individual,336826.59,326721.91,1794,28
S0152,SuayShopDee,Individual,333279.31,323280.94,1912,28
S0043,KhongSabaiBaan,Company,332592.29,292681.2,376,28
S0147,SuayTaladTalad,Company,327321.38,288042.8,377,27
S0110,ThongBaan,Individual,322948.12,284194.37,359,28
S0199,DeeDeeFamily,Company,321627.79,283032.53,331,27
S0023,FamilySabai,Individual,317292.54,279217.33,282,28
S0011,DeeSabaiThong,Company,316235.81,278287.49,356,28
S0113,SukSuay,Individual,314548.49,305112.08,1716,28
S0055,KhongDeeTalad,Individual,314435.26,276703.08,406,28
S0077,SukSabai,Company,312274.78,274801.83,334,28
S0145,TaladTaladSuk,Individual,307458.67,293302.63,1422,16
S0034,ShopSukShop,Individual,297981.86,283395.36,1340,16
S0104,MongkolThongSuk,Company,288845.65,254757.92,411,27
S0089,StarFamily,Individual,286489.52,252110.80000000002,338,27
S0126,BaanTaladBaan,Company,285615.19,251341.42,324,27
S0162,ShopDee,Company,284603.47,269138.12,1313,16
S0169,FamilyShopFamily,Company,277344.71,269024.39,1368,28
S0013,SabaiFamily,Individual,276161.41,243022.0,317,27
S0035,ThongMongkol,Company,273456.97000000003,259959.67,1368,28
S0008,StarSuay,Company,271080.62,238550.89,316,28
S0097,StarThongThong,Company,265652.01,233773.82,300,27
S0060,DeeSuay,Company,264633.2,232877.29,316,28
S0116,KhongDeeDee,Individual,258337.62,247126.04,1316,16
S0182,SukStarSuay,Company,254883.18,224297.21,341,28
S0114,MongkolFamilyFamily,Company,252690.7,222367.94,450,28
S0140,ThongSuayShop,Company,252188.0,241359.75,1428,16
S0183,StarSabaiThong,Company,250389.72,220342.92,291,28
S0029,TaladSuk,Individual,229836.54,201106.86000000002,215,16
S0019,ThongDee,Company,227902.25,200553.96,340,28
S0193,SukSuayThong,Company,223239.23,196450.52,269,28
S0180,KhongMongkolTalad,Company,210359.0,201029.06,1104,16
S0128,DeeKhongKhong,Company,207603.56,181653.04,243,16
S0059,StarKhongFamily,Company,200469.72,191055.8,1006,16
S0156,MongkolThongThong,Company,174054.64,152297.79,225,16
S0056,SukShop,Individual,171198.6,149798.77,235,16
S0036,MongkolSuayBaan,Company,164681.76,156583.52,840,16
S0132,DeeStar,Company,143038.18,125158.33,215,16
S0093,BaanDeeThong,Individual,142420.75,124618.18000000001,193,16
S0151,SuayShopShop,Company,121137.26,115544.66,698,16
S0117,SabaiStarFamily,Company,107238.86,93833.95,143,15
